The Weeknd - Save Your Tears-1,732,655,031-1,137,535
Wiz Khalifa - See You Again-1,724,684,848-788,133
Lewis Capaldi - Before You Go-1,723,453,145-943,689
Lukas Graham - 7 Years-1,722,570,639-1,126,013
Sam Smith - I'm Not The Only One-1,711,852,745-897,388
Jason Mraz - I'm Yours-1,711,390,451-692,176
Journey - Don't Stop Believin'-1,711,000,889-861,438
Coldplay - The Scientist-1,707,791,684-981,474
Maroon 5 - Sugar-1,699,835,715-657,756
Sia - Cheap Thrills-1,692,709,056-536,894
Charlie Puth - We Don't Talk Anymore-1,691,375,030-820,398
Imagine Dragons - Radioactive-1,675,355,516-851,527
Lauv - I Like Me Better-1,675,268,482-604,340
Billie Eilish - when the party's over-1,673,206,584-695,925
Queen - Another One Bites The Dust-1,670,017,211-797,620
Guns N' Roses - Sweet Child O' Mine-1,669,782,113-937,534
Doja Cat - Kiss Me More-1,668,418,802-743,242
Luis Fonsi - Despacito-1,666,150,388-231,538
Bruno Mars - Locked out of Heaven-1,663,596,690-1,616,571
Charlie Puth - Attention-1,660,785,798-1,386,229
5 Seconds of Summer - Youngblood-1,659,157,417-695,336
Luis Fonsi - Despacito (Featuring Daddy Yankee)-1,651,621,564-409,267
Twenty One Pilots - Heathens-1,643,782,254-864,358
Ed Sheeran - Bad Habits-1,639,593,087-629,736
Danny Ocean - Me RehÃºso-1,630,782,730-808,331
Justin Timberlake - CAN'T STOP THE FEELING! (from DreamWorks Animation's "TROLLS")-1,625,013,536-468,126
Arctic Monkeys - I Wanna Be Yours-1,621,894,274-2,779,493
a-ha - Take on Me-1,620,478,221-1,512,708
Lord Huron - The Night We Met-1,613,581,054-2,364,569
Taylor Swift - Blank Space-1,613,287,291-1,494,004
Dean Lewis - Be Alright-1,609,157,433-798,235
The Weeknd - I Feel It Coming-1,608,810,232-657,394
benny blanco - Eastside-1,606,391,005-643,224
Maroon 5 - Payphone-1,601,896,443-1,113,526
Adele - Rolling in the Deep-1,601,450,975-1,206,342
The Weeknd - Can't Feel My Face-1,600,695,063-688,833
Bad Bunny - Me Porto Bonito-1,599,311,157-1,155,387
Miley Cyrus - Flowers-1,599,180,615-1,783,850
Foster The People - Pumped Up Kicks-1,594,896,093-746,337
Maroon 5 - Girls Like You-1,589,628,332-303,957
Twenty One Pilots - Ride-1,589,176,477-626,382
DaBaby - ROCKSTAR-1,584,329,971-292,429
TOTO - Africa-1,581,730,380-791,286
Sia - Chandelier-1,581,232,119-739,245
Avicii - The Nights-1,576,142,716-969,917
The Weeknd - Call Out My Name-1,573,857,357-1,000,673
Calvin Harris - This Is What You Came For-1,573,772,830-628,363
Post Malone - I Fall Apart-1,562,949,109-428,465
Gotye - Somebody That I Used To Know-1,562,391,876-932,185
Post Malone - Wow.-1,562,255,001-633,358
Cardi B - I Like It-1,558,197,705-307,631
ZAYN - Dusk Till Dawn-1,556,457,375-635,447
Ava Max - Sweet but Psycho-1,552,333,001-1,008,870
Michael Jackson - Billie Jean-1,551,516,196-876,242
Eminem - The Real Slim Shady-1,547,514,291-1,075,344
Powfu - death bed (coffee for your head)-1,545,942,381-534,416
OMI - Cheerleader (Felix Jaehn Remix)-1,545,375,820-456,304
J Balvin - LA CANCIÃN-1,532,435,423-753,263
Adele - Easy On Me-1,532,089,623-1,078,802
Mariah Carey - All I Want for Christmas Is You-1,523,669,880-3,332,167
Harry Styles - Adore You-1,523,052,197-679,521
The Weeknd - Earned It (Fifty Shades Of Grey)-1,521,830,567-688,346
Trevor Daniel - Falling-1,516,193,810-490,466
Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52-1,515,000,681-1,054,540
Justin Bieber - Peaches-1,511,709,404-502,050
ZAYN - I Donât Wanna Live Forever (Fifty Shades Darker)-1,504,444,972-771,839
DJ Snake - Taki Taki-1,500,766,739-331,631
Dua Lipa - IDGAF-1,495,671,697-498,996
WALK THE MOON - Shut Up and Dance-1,491,647,464-686,504
DNCE - Cake By The Ocean-1,491,069,248-527,340
Justin Bieber - What Do You Mean?-1,490,691,167-502,145
Alec Benjamin - Let Me Down Slowly-1,488,931,952-929,345
Childish Gambino - Redbone-1,485,441,534-662,496
Panic! At The Disco - High Hopes-1,484,452,480-464,791
Linkin Park - Numb-1,482,555,675-1,285,975
Coolio - Gangsta's Paradise-1,478,102,622-980,621
Christina Perri - A Thousand Years-1,478,099,058-989,090
Lil Nas X - Old Town Road-1,477,957,513-257,711
David Guetta - Titanium-1,476,398,134-716,058
SZA - Kill Bill-1,471,956,466-2,316,779
White Noise Baby Sleep - Clean White Noise-1,471,904,481-1,208,102
Adele - Hello-1,471,822,907-435,493
Billie Eilish - everything i wanted-1,471,705,603-755,138
Future - Mask Off-1,470,619,305-596,527
Marshmello - Silence-1,465,749,084-605,878
Travis Scott - HIGHEST IN THE ROOM-1,464,044,104-647,986
Drake - Passionfruit-1,462,386,437-759,367
Post Malone - Psycho-1,460,285,455-327,960
XXXTENTACION - Everybody Dies In Their Nightmares-1,459,555,900-701,039
Ellie Goulding - Love Me Like You Do-1,456,610,823-429,609
The White Stripes - Seven Nation Army-1,454,408,820-836,946
Queen - Under Pressure-1,451,043,733-762,662
MÃ¥neskin - Beggin'-1,449,451,166-656,912
XXXTENTACION - Fuck Love-1,446,715,974-772,659
Juice WRLD - All Girls Are The Same-1,445,196,930-872,342
Major Lazer - Cold Water-1,445,121,880-379,192
Eagles - Hotel California-1,443,852,491-715,073
Maroon 5 - Maps-1,439,017,326-1,193,867
Bastille - Pompeii-1,437,760,973-805,709
Tame Impala - The Less I Know The Better-1,436,074,761-836,472
Doja Cat - Woman-1,433,666,482-785,593
BeyoncÃ© - Halo-1,431,675,857-623,342
KAROL G - Tusa-1,430,414,472-305,883
Anne-Marie - 2002-1,429,093,919-578,779
Fleetwood Mac - Dreams-1,428,027,863-1,110,558
Arctic Monkeys - Why'd You Only Call Me When You're High?-1,427,459,058-1,445,459
Zedd - The Middle-1,425,972,273-431,940
Clean Bandit - Rockabye-1,425,633,147-407,979
Arizona Zervas - ROXANNE-1,421,662,326-284,188
Khalid - Young Dumb & Broke-1,420,963,259-438,371
Shakira - Hips Don't Lie-1,419,331,507-820,970
Radiohead - Creep-1,419,039,136-1,226,386
Conan Gray - Heather-1,417,578,426-1,129,155
The Goo Goo Dolls - Iris-1,413,777,578-1,359,898
Ed Sheeran - Shivers-1,410,375,689-821,708
Earth, Wind & Fire - September-1,406,958,528-702,067
Manuel Turizo - La Bachata-1,404,072,831-1,297,939
Don Omar - Danza Kuduro-1,402,730,311-835,059
Kendrick Lamar - All The Stars-1,402,367,454-793,345
Eminem - Mockingbird-1,400,916,937-1,289,040
J Balvin - Mi Gente-1,398,946,814-333,581
Champs United - Danza Kuduro-1,397,090,098-853,844
Harry Styles - Sign of the Times-1,394,738,787-626,175
Bon Jovi - Livin' On A Prayer-1,392,170,096-901,931
Olivia Rodrigo - deja vu-1,389,518,927-1,010,189
Farruko - Pepas-1,388,462,886-540,103
AC/DC - Back In Black-1,384,311,488-680,568
Miley Cyrus - Party In The U.S.A.-1,382,926,532-938,500
Taylor Swift - Cruel Summer-1,382,545,217-4,366,237
NF - Let You Down-1,381,999,033-471,570
Arctic Monkeys - 505-1,378,377,944-1,364,526
Rihanna - We Found Love-1,376,578,252-1,190,173
Sam Smith - Unholy-1,376,173,268-984,339
AC/DC - Highway to Hell-1,375,091,010-776,690
Tears For Fears - Everybody Wants To Rule The World-1,374,569,801-1,293,090
Bad Bunny - TitÃ­ Me PreguntÃ³-1,373,926,750-738,410
Marshmello - FRIENDS-1,371,114,052-353,418
The Starlite Singers - Party In The U.S.A.-1,370,796,338-975,756
Bing Crosby & The Andrews Sisters - Santa Claus Is Coming To Town-1,365,958,991-477,844
Bad Bunny - Callaita-1,360,976,937-430,682
Clean Bandit - Symphony-1,358,602,789-514,714
Martin Garrix - In the Name of Love-1,357,012,202-509,396
Bing Crosby - Its Beginning To Look Like Christmas-1,357,009,504-301,819
Fifth Harmony - Work from Home-1,356,804,947-355,750
Kygo - It Ainât Me-1,353,510,006-413,693
Bing Crosby - Santa Claus Is Comin' To Town-1,351,746,670-173,919
Olivia Rodrigo - traitor-1,351,598,122-970,028
gnash - i hate u, i love u-1,346,940,030-427,738
Lil Baby - Drip Too Hard (Lil Baby & Gunna)-1,346,294,742-734,581
The Weeknd - Save Your Tears-1,345,825,921-1,066,959
Dynoro - In My Mind-1,344,238,552-396,451
Drake - In My Feelings-1,343,145,204-243,519
Ariana Grande - Side To Side-1,340,812,837-401,554
Ed Sheeran - Beautiful People-1,337,788,908-309,327
Offset - Ric Flair Drip-1,337,410,208-844,819
Rihanna - Umbrella-1,335,613,740-1,027,038
Rihanna - Needed Me-1,335,036,603-684,673
Calvin Harris - Summer-1,334,694,479-517,858
Train - Hey, Soul Sister-1,334,071,157-680,979
Adele - Set Fire to the Rain-1,332,893,813-1,464,582
Imagine Dragons - Enemy-1,331,565,551-944,198
Imagine Dragons - Enemy feat. J.I.D. (from the series Arcane League of Legends)-1,329,697,962-715,870
Bad Bunny - Yonaguni-1,325,897,396-434,849
Jonas Brothers - Sucker-1,325,541,580-418,314
XXXTENTACION - Look At Me!-1,323,587,953-585,689
MAGIC! - Rude-1,323,273,312-629,630
Eminem - Love The Way You Lie-1,322,578,805-1,085,026
Ariana Grande - positions-1,321,918,889-541,032
Alessia Cara - Scars To Your Beautiful-1,319,896,678-613,024
Bruno Mars - 24K Magic-1,317,545,791-480,506
David Guetta - I'm Good (Blue)-1,317,219,589-1,634,886
Justin Bieber - Ghost-1,316,317,900-1,348,663
Bebe Rexha - Meant to Be-1,314,111,292-359,599
Snoop Dogg - Young, Wild & Free-1,311,733,738-625,103
Ariana Grande - One Last Time-1,310,815,467-748,484
Coldplay - Fix You-1,310,713,727-914,697
50 Cent - In Da Club-1,309,298,376-875,038
Khalid - Location-1,307,726,189-290,234
Milky Chance - Stolen Dance-1,306,891,559-651,011
Rihanna - Work-1,305,692,205-437,376
AC/DC - Thunderstruck-1,305,495,965-694,956
XXXTENTACION - changes-1,304,985,102-325,788
Pitbull - Timber-1,304,424,240-634,461
Rihanna - Love On The Brain-1,293,163,393-949,941
Selena Gomez - Wolves-1,291,905,733-327,668
Dr. Dre - Still D.R.E.-1,291,591,021-662,326
Maroon 5 - She Will Be Loved-1,285,461,318-641,842
Logic - 1-800-273-8255-1,285,416,912-260,915
OneRepublic - I Ain't Worried-1,284,974,690-1,492,139
XXXTENTACION - Hope-1,284,887,961-708,463
Creedence Clearwater Revival - Have You Ever Seen The Rain-1,284,690,873-1,171,172
Tyga - Taste-1,284,471,035-386,548
Katy Perry - Dark Horse-1,283,558,727-818,657
Zara Larsson - Lush Life-1,282,794,052-451,195
JAY-Z - Ni**as In Paris-1,282,304,783-768,886
Kanye West - Stronger-1,281,992,400-643,903
Ruth B. - Dandelions-1,280,890,523-1,281,807
Coldplay - A Sky Full of Stars-1,280,583,150-1,065,612
Pharrell Williams - Happy-1,280,490,368-456,734
Avicii - Waiting For Love-1,279,602,734-609,026
Daddy Yankee - Con Calma-1,277,524,351-303,771
The Script - Hall of Fame-1,272,842,186-797,173
Backstreet Boys - I Want It That Way-1,269,571,390-701,990
One Direction - Night Changes-1,268,305,527-1,158,041
Khalid - Better-1,267,998,805-362,621
Ariana Grande - no tears left to cry-1,267,068,679-300,190
Ed Sheeran - Happier-1,264,663,480-330,593
Tyler, The Creator - See You Again-1,264,308,333-1,643,326
Ed Sheeran - Castle on the Hill-1,263,857,771-388,331
Tate McRae - you broke me first-1,261,236,851-850,236
Bad Bunny - Ojitos Lindos-1,259,945,432-845,090
Drake - Hotline Bling-1,258,479,707-397,054
Maroon 5 - Moves Like Jagger-1,257,232,952-919,941
Regard - Ride It-1,256,724,971-394,217
Jhayco - No Me Conoce-1,256,009,605-589,111
Internet Money - Lemonade-1,254,760,643-358,338
Taylor Swift - Shake It Off-1,253,353,498-849,678
Bad Bunny - MIA-1,252,923,279-314,928
Cardi B - WAP-1,252,403,220-346,102
Eminem - Godzilla-1,252,289,999-632,175
Coldplay - Hymn for the Weekend-1,251,915,265-763,174
Shawn Mendes - Mercy-1,251,829,020-519,855
Taylor Swift - Anti-Hero-1,250,471,074-1,899,849
Ariana Grande - Into You-1,248,676,654-550,628
Red Hot Chili Peppers - Under the Bridge-1,248,457,638-919,642
Sam Smith - Dancing With A Stranger-1,246,866,268-501,990
Gorillaz - Feel Good Inc.-1,246,614,570-714,391
Jessie J - Bang Bang-1,246,222,945-397,332
Red Hot Chili Peppers - Californication-1,246,151,277-882,867
Axwell /\ Ingrosso - More Than You Know-1,243,944,139-414,078
Keane - Somewhere Only We Know-1,243,456,710-1,449,625
Kendrick Lamar - Money Trees-1,242,825,569-1,165,657
Kings of Leon - Sex on Fire-1,241,009,938-737,680
Black Eyed Peas - I Gotta Feeling-1,240,810,448-764,545
Metallica - Enter Sandman-1,237,644,677-737,225
Ed Sheeran - Galway Girl-1,237,125,367-390,583
ZAYN - PILLOWTALK-1,236,541,432-406,679
Lil Tecca - Ransom-1,233,426,132-616,133
Rihanna - Diamonds-1,231,478,676-1,122,266
The Neighbourhood - Daddy Issues-1,230,043,603-911,938
Wham! - Last Christmas-1,228,207,469-3,011,664
Rauw Alejandro - Todo De Ti-1,225,746,814-427,403
Lil Mosey - Blueberry Faygo-1,224,719,346-333,739
Juice WRLD - Robbery-1,223,322,533-432,246
Maroon 5 - Animals-1,222,629,287-716,280
Clean Bandit - Rather Be-1,222,014,978-539,719
Billie Eilish - ocean eyes-1,218,921,380-917,971
MKTO - Classic-1,217,651,503-530,800
G-Eazy - Me, Myself & I-1,214,424,295-327,941
DJ Khaled - I'm the One-1,213,842,943-220,872
Portugal. The Man - Feel It Still-1,209,203,327-477,195
blackbear - hot girl bummer-1,206,522,931-310,634
Travis Scott - BUTTERFLY EFFECT-1,204,544,672-602,659
R.E.M. - Losing My Religion-1,203,150,183-860,361
Carly Rae Jepsen - Call Me Maybe-1,203,064,271-799,058
Drake - Nice For What-1,201,077,568-404,478
Maluma - HawÃ¡i-1,197,835,219-401,287
Lynyrd Skynyrd - Sweet Home Alabama-1,194,046,792-483,195
Joji - SLOW DANCING IN THE DARK-1,192,210,568-600,985
Snow Patrol - Chasing Cars-1,191,337,292-564,483
Post Malone - Goodbyes-1,191,272,004-441,847
Bruno Mars - Leave The Door Open-1,190,007,505-601,893
BTS - Butter-1,188,647,235-343,098
Major Lazer - Light It Up-1,188,316,675-370,339
Gym Class Heroes - Stereo Hearts-1,187,467,805-715,275
Outkast - Hey Ya!-1,185,186,280-646,977
Masked Wolf - Astronaut In The Ocean-1,184,345,957-343,888
Martin Garrix - Scared to Be Lonely-1,184,151,359-334,670
Adele - When We Were Young-1,178,509,264-589,483
J. Cole - MIDDLE CHILD-1,176,754,918-589,242
Kendrick Lamar - LOVE. FEAT. ZACARI.-1,175,763,307-728,867
Eurythmics - Sweet Dreams (Are Made of This)-1,174,078,172-655,723
Zedd - Stay-1,173,639,642-278,952
Marvin Gaye - Ain't No Mountain High Enough-1,167,354,576-964,281
Bruno Mars - Talking to the Moon-1,166,789,939-982,598
Unknown - Ain't No Mountain High Enough-1,165,491,124-801,745
Rihanna - Stay-1,164,753,586-746,957
Billie Eilish - Happier Than Ever-1,164,168,009-820,081
Daniel Caesar - Best Part-1,163,378,596-939,438
Future - Life Is Good-1,163,143,315-399,955
Lana Del Rey - Summertime Sadness-1,162,151,448-1,334,456
System Of A Down - Chop Suey!-1,162,084,487-779,438
Bad Bunny - Efecto-1,157,201,799-744,692
Julia Michaels - Issues-1,156,550,515-351,046
P!nk - Just Give Me a Reason-1,152,829,548-586,675
Hailee Steinfeld - Starving-1,150,092,850-214,335
Survivor - Eye of the Tiger-1,149,707,913-601,712
Queen - We Will Rock You-1,149,588,218-517,545
Coldplay - My Universe-1,148,510,483-717,972
Desiigner - Panda-1,147,374,197-178,626
Bruno Mars - Grenade-1,145,926,830-942,216
Robin Schulz - Sugar-1,145,231,682-325,181
Maroon 5 - What Lovers Do-1,144,604,407-283,028
Coldplay - Paradise-1,143,429,009-836,140
Creedence Clearwater Revival - Fortunate Son-1,141,590,442-909,858
Doja Cat - Say So-1,140,705,561-290,263
XXXTENTACION - Revenge-1,134,920,449-997,258
The Lumineers - Ho Hey-1,134,632,792-798,719
Lorde - Royals-1,134,506,129-598,389
The Beatles - Here Comes The Sun-1,134,335,201-730,842
Rema - Calm Down-1,131,876,487-1,603,680
Calum Scott - Dancing On My Own-1,130,806,395-465,732
Selena Gomez - Lose You To Love Me-1,129,583,039-487,971
Capital Cities - Safe And Sound-1,129,414,422-689,161
James Bay - Let It Go-1,128,066,097-361,432
Bryson Tiller - Don't-1,127,428,271-724,223
The Chainsmokers - Paris-1,126,932,399-303,814
Nio Garcia - Te BotÃ©-1,126,199,181-257,006
Pitbull - Time of Our Lives-1,126,060,570-575,446
Nirvana - Come As You Are-1,125,180,132-722,981
Anuel AA - China-1,124,862,823-264,975
Imagine Dragons - Whatever It Takes-1,124,821,930-622,219
Unknown - Time Of Our Lives-1,124,427,421-566,323
Joel Corry - Head & Heart-1,124,404,049-308,701
One Direction - Story of My Life-1,120,310,907-656,936
The Lumineers - Ophelia-1,119,640,011-864,497
Dua Lipa - Break My Heart-1,118,550,626-458,883
USHER - Yeah!-1,116,371,889-616,993
Imagine Dragons - Natural-1,116,103,118-535,884
Meek Mill - Going Bad-1,115,692,101-395,743
Jung Kook - Seven-1,115,229,888-4,177,279
Demi Lovato - Sorry Not Sorry-1,115,073,868-227,778
Justin Bieber - Intentions-1,113,471,111-320,472
Pedro CapÃ³ - Calma-1,112,870,480-182,947
Lady Gaga - Always Remember Us This Way-1,112,671,610-742,768
TiÃ«sto - The Business-1,110,416,969-369,859
ABBA - Dancing Queen-1,109,970,810-767,677
Joji - Glimpse of Us-1,103,805,277-912,985
J. Cole - Wet Dreamz-1,103,658,847-748,161
Kate Bush - Running Up That Hill (A Deal With God)-1,102,708,092-582,230
BTS - Boy With Luv (Feat. Halsey)-1,102,400,440-293,714
The Walters - I Love You So-1,100,450,999-1,117,904
Macklemore & Ryan Lewis - Thrift Shop-1,099,739,254-678,477
Doja Cat - Need to Know-1,099,518,721-456,121
Harry Styles - Falling-1,098,805,997-640,016
Fetty Wap - Trap Queen-1,098,713,770-376,694
Miguel - Sure Thing-1,098,070,299-1,261,364
A$AP Rocky - Praise The Lord (Da Shine)-1,093,191,487-647,569
21 Savage - Bank Account-1,093,101,433-294,030
Loud Luxury - Body-1,092,777,544-438,496
The Fray - How to Save a Life-1,091,718,450-472,199
Lady Gaga - Poker Face-1,087,762,973-838,019
Taylor Swift - Lover-1,083,226,213-1,958,515
Topic - Breaking Me-1,081,877,798-232,125
One Direction - What Makes You Beautiful-1,081,739,826-726,448
Britney Spears - Toxic-1,081,639,592-702,826
Fall Out Boy - Centuries-1,079,064,341-452,178
Jonas Blue - Fast Car-1,078,254,960-319,031
Lil Wayne - Sucker for Pain-1,076,658,064-271,167
Jawsh 685 - Savage Love (Laxed-1,076,642,352-207,038
Post Malone - White Iverson-1,073,356,908-337,084
Jason Derulo - Swalla-1,072,596,529-187,544
Dire Straits - Sultans Of Swing-1,071,302,785-603,617
Whitney Houston - I Wanna Dance with Somebody (Who Loves Me)-1,070,774,399-509,031
Steve Lacy - Dark Red-1,069,307,476-1,332,988
Metro Boomin - Creepin'-1,069,024,406-1,466,174
Sia - Unstoppable-1,067,613,128-1,078,567
Lost Frequencies - Where Are You Now-1,067,048,142-594,659
Calvin Harris - Feels-1,066,282,214-261,112
Bryan Adams - Summer Of '69-1,066,253,536-535,117
Rudimental - These Days-1,065,411,578-297,272
Lady Gaga - Bad Romance-1,063,749,217-649,414
Chris Brown - Under The Influence-1,063,561,694-982,906
GAYLE - abcdefu-1,063,134,469-364,441
Duncan Laurence - Arcade-1,062,572,291-614,590
Jack Ã - Where Are Ã Now-1,059,702,970-190,522
LISA - MONEY-1,059,418,112-840,526
Guns N' Roses - Welcome To The Jungle-1,058,281,812-583,709
Kendrick Lamar - DNA.-1,057,571,807-410,900
Pop Smoke - For The Night-1,056,127,827-337,444
Lil Peep - Falling Down-1,053,985,688-426,339
Hailee Steinfeld - Let Me Go-1,051,952,838-245,273
JP Saxe - If the World Was Ending-1,050,932,875-504,894
Kygo - Firestone-1,050,106,166-269,390
Ali Gatie - It's You-1,049,962,285-418,117
Rihanna - FourFiveSeconds-1,049,202,818-410,140
Metallica - Nothing Else Matters-1,046,041,581-556,581
Drake - Nonstop-1,045,909,790-390,637
DJ Khaled - Wild Thoughts-1,044,883,366-404,661
Lana Del Rey - Young And Beautiful-1,044,407,522-929,859
Taylor Swift - Style-1,044,125,834-1,349,664
The Cranberries - Zombie-1,043,290,456-710,317
Kodaline - All I Want-1,041,819,568-491,250
Katy Perry - Roar-1,040,420,986-524,995
Red Hot Chili Peppers - Can't Stop-1,037,487,284-855,520
Pop Smoke - What You Know Bout Love-1,037,466,885-466,786
Kungs - This Girl (Kungs Vs. Cookin' On 3 Burners)-1,035,951,555-333,554
fun. - We Are Young-1,034,299,525-501,286
Kesha - TiK ToK-1,033,794,891-608,711
Ariana Grande - Stuck with U-1,033,325,536-437,406
Calvin Harris - How Deep Is Your Love-1,033,144,699-368,156
One Direction - Drag Me Down-1,031,773,469-400,366
Lil Peep - Star Shopping-1,031,264,778-833,005
Lewis Capaldi - Bruises-1,029,815,983-528,382
Sean Paul - No Lie-1,028,804,977-596,427
The Rolling Stones - Paint It, Black-1,026,941,905-697,180
Kanye West - Heartless-1,026,736,479-1,307,518
Giveon - Heartbreak Anniversary-1,026,326,457-635,639
BeyoncÃ© - Crazy In Love-1,023,599,527-669,391
Nelly Furtado - Promiscuous-1,023,311,710-854,703
Papa Roach - Last Resort-1,022,945,117-549,954
Taylor Swift - cardigan-1,018,470,018-1,643,114
George Ezra - Budapest-1,017,296,964-466,697
Adele - Make You Feel My Love-1,016,854,279-483,269
Drake - Toosie Slide-1,014,209,512-253,913
DJ Snake - Middle-1,013,933,143-275,229
Eminem - Rap God-1,010,566,768-334,077
Selena Gomez - Back To You-1,010,292,245-303,333
The Notorious B.I.G. - Hypnotize-1,009,619,352-599,079
Kanye West - Gold Digger-1,008,631,046-670,508
